,swl_code,swl_description,swl_unit,belongs_to,swl_metacode,swl_source,code,code_long_name,code_system,version,ucum_unit,validated
636,TSH60,TSH 60 min,mU/l,Hormone,emptyvalue,emptyvalue,29317-5	,Thyrotropin [Units/volume] in Serum or Plasma --1 hour post XXX challenge,http://loinc.org,2.70,mU/L,X
637,TSH360,TSH 360 min,mU/l,Hormone,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,mU/L,X
638,TSH30,TSH 30 min,mU/l,Hormone,emptyvalue,emptyvalue,29316-7,Thyrotropin [Units/volume] in Serum or Plasma --30 minutes post XXX challenge,http://loinc.org,2.70,mU/L,X
639,TSH240,TSH 240 min,mU/l,Hormone,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,mU/L,X
640,TSH180,TSH 180 min,mU/l,Hormone,emptyvalue,emptyvalue,56594-5,Thyrotropin [Units/volume] in Serum or Plasma --3 hours post XXX challenge,http://loinc.org,2.68,mU/L,X
641,TSH120,TSH 120 min,mU/l,Hormone,emptyvalue,emptyvalue,12939-5,Thyrotropin [Units/volume] in Serum or Plasma --2 hours post XXX challenge,http://loinc.org,2.36,mU/L,X
642,TSH0,TSH 0 min,mU/l,Hormone,emptyvalue,emptyvalue,14999-7,Thyrotropin [Units/volume] in Serum or Plasma --baseline,http://loinc.org,2.36,mU/L,X
644,TSH,TSH,mU/l,Hormone,emptyvalue,emptyvalue,3016-3,Thyrotropin [Units/volume] in Serum or Plasma,http://loinc.org,2.70,mU/L,X
645,TRYP,Tryptase (Allergen-Aktivierungsmarker),µg/l,Globalmarker,emptyvalue,emptyvalue,21582-2,Tryptase [Mass/volume] in Serum or Plasma,http://loinc.org,2.70,ug/L,X
649,TRIZ,Triz.Antidepr. (Plasma),µg/l,Blut,emptyvalue,emptyvalue,10552-8,Tricyclic antidepressants [Mass/volume] in Serum or Plasma,http://loinc.org,2.40,ug/L,X
650,TRI-S,Triglyzeride im Serum,mg/dl,Klinische Chemie,emptyvalue,emptyvalue,2571-8,Triglyceride [Mass/volume] in Serum or Plasma,http://loinc.org,2.73,mg/dL,X
651,TRIPS,Tripelphosphat (Sed.),/GF,Urinsediment,emptyvalue,emptyvalue,46137-6,Triple phosphate crystals [#/area] in Urine sediment by Microscopy high power field,http://loinc.org,2.73,emptyvalue,emptyvalue
654,TRIMI,Trimipramin,µg/l,Psychopharmaka,emptyvalue,emptyvalue,4083-2,Trimipramine [Mass/volume] in Serum or Plasma,http://loinc.org,2.34,ug/L,X
655,TRI,Triglyzeride,mg/dl,Klinische Chemie,emptyvalue,emptyvalue,2571-8,Triglyceride [Mass/volume] in Serum or Plasma,http://loinc.org,2.70,mg/dL,X
656,TRH,TRH-Test (TSH-Anstieg),mU/l,Hormone,emptyvalue,emptyvalue,33258-5,Thyrotropin [Units/volume] in Serum or Plasma --30 minutes post dose TRH,http://loinc.org,2.70,mU/L,X
657,TRCM,Trypanosoma cruzi IgM [Fremdlabor],Titer,Parasitologie,emptyvalue,emptyvalue,15397-3,Trypanosoma cruzi IgM Ab [Titer] in Serum,http://loinc.org,2.70,	&#123;titer},X
658,TRCG,Trypanosoma cruzi IgG [Fremdlabor],Titer,Parasitologie,emptyvalue,emptyvalue,59393-9,Trypanosoma cruzi IgG Ab [Titer] in Serum by Immunofluorescence,http://loinc.org,2.32,&#123;titer},X
660,TRB,"Tr, AK geg.",emptyvalue,Paraneoplasie assoziierte Autoantikörper,emptyvalue,emptyvalue,88734-9,PCA-Tr Ab [Units/volume] in Serum by Line blot,http://loinc.org,2.68,[arb'U]/L,X
661,TRAZO,Trazodon [Fremdlabor],µg/ml,Psychopharmaka,emptyvalue,emptyvalue,4064-2,traZODone [Mass/volume] in Serum or Plasma,http://loinc.org,2.40,ug/mL,X
662,TRAP,Bone Trap 5b  [Fremdlabor],U/l,emptyvalue,emptyvalue,emptyvalue,emptyvalue,Acid phosphatase tartrate resistant [Enzymatic activity/volume] in Serum,emptyvalue,2.68,U/L,X
663,TRANY,Tranylcypromin (S) [Fremdlabor],ng/ml,Psychopharmaka,emptyvalue,emptyvalue,10344-0,Tranylcypromine [Mass/volume] in Serum or Plasma,http://loinc.org,2.70,ng/mL,X
665,TRAN,Transferrin,g/l,Klinische Chemie,emptyvalue,emptyvalue,3034-6,Transferrin [Mass/volume] in Serum or Plasma,http://loinc.org,2.70,g/L,X
666,TRAK,TSH Rezeptor AAK (TRAK),U/l,Hormone,emptyvalue,emptyvalue,57416-0,Thyrotropin receptor Ab [Units/volume] in Serum by Immunoassay,http://loinc.org,2.70,U/L,X
667,TRAEN,Tränentropfenformen,emptyvalue,Blutbild,emptyvalue,emptyvalue,7791-7,Dacrocytes [Presence] in Blood by Light microscopy,http://loinc.org,2.70,emptyvalue,X
668,TR,"Tr, Ak geg.",Titer,Paraneoplasie assoziierte Autoantikörper,emptyvalue,emptyvalue,56550-7,PCA-Tr Ab [Titer] in Serum by Immunofluorescence,http://loinc.org,2.58,&#123;titer},X
670,TPZKC,"Quick, [Fremdlabor]",%,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,%,emptyvalue
671,TPZ,Quick,%,Hämostaseologie Globaltests,emptyvalue,emptyvalue,5894-1,Prothrombin time (PT) actual/Normal,http://loinc.org,2.54,%,X
672,TPVS,Trep. pallidum  -VDRL,Titer,Bakteriologie,emptyvalue,emptyvalue,71793-4,Treponema pallidum Ab [Titer] in Serum or Plasma by Agglutination,http://loinc.org,2.40,&#123;titer},X
674,TPVL,Trep. pallidum  -VDRL,Titer,Bakteriologie,emptyvalue,emptyvalue,50695-6,Treponema pallidum Ab [Titer] in Cerebral spinal fluid by Hemagglutination,http://loinc.org,2.70,&#123;titer},X
675,TPSC,Treponema pallidum Screening,S/CO,emptyvalue,emptyvalue,emptyvalue,24110-9,Treponema pallidum Ab [Presence] in Serum by Immunoassay,http://loinc.org,2.73,&#123;s_co_ratio},X
676,TPS,Tissue polypeptide (specific) Antigen,U/l,Tumormarker,emptyvalue,emptyvalue,19184-1,Tissue polypeptide specific Ag [Units/volume] in Serum or Plasma,http://loinc.org,2.68,[arb'U]/L,X
677,TP-S,Protein im Serum,g/l,Proteindiagnostik,emptyvalue,emptyvalue,2885-2,Protein [Mass/volume] in Serum or Plasma,http://loinc.org,2.73,g/L,X
678,TPPAL,Trep. pallidum  -TPPA,Titer,Bakteriologie,emptyvalue,emptyvalue,51475-2,Treponema pallidum Ab [Titer] in Cerebral spinal fluid,http://loinc.org,2.32,&#123;titer},X
680,TPPA,Trep. pallidum  -TPPA,Titer,Bakteriologie,emptyvalue,emptyvalue,22590-4,Treponema pallidum Ab [Titer] in Serum,http://loinc.org,2.70,&#123;titer},X
681,TPOAK2,Anti-TPO,U/ml,Klinische Chemie,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,U/mL,emptyvalue
682,TPOAK,Anti-TPO,U/ml,Klinische Chemie,emptyvalue,emptyvalue,56477-3,Thyroperoxidase Ab [Units/volume] in Serum or Plasma by Immunoassay,http://loinc.org,2.70,U/mL,X
684,TPMTA,Thiopurin-S-Methyltransferase [Fremdlabor],mU/l,Hormone,emptyvalue,emptyvalue,53819-9,Thiopurine methyltransferase [Enzymatic activity/volume] in Blood,http://loinc.org,2.70,mU/L,X
685,TPEML,Trep. pallidum IgM,IU/ml,Bakteriologie,emptyvalue,emptyvalue,47514-5,Treponema pallidum IgM Ab [Units/volume] in Cerebral spinal fluid,http://loinc.org,emptyvalue,[arb'U]/mL,X
686,TPEM,Trep. pallidum IgM,IU/ml,emptyvalue,emptyvalue,emptyvalue,51839-9,Treponema pallidum IgM Ab [Units/volume] in Serum by Immunoassay,http://loinc.org,2.69,[arb'U]/mL,X
687,TPEGL,Trep. pallidum IgG,IU/ml,emptyvalue,emptyvalue,emptyvalue,47512-9,Treponema pallidum IgG Ab [Units/volume] in Cerebral spinal fluid,http://loinc.org,2.69,[arb'U]/mL,X
688,TPEG,Trep. pallidum IgG,IU/ml,emptyvalue,emptyvalue,emptyvalue,51838-1,Treponema pallidum IgG Ab [Units/volume] in Serum by Immunoassay,http://loinc.org,2.69,[arb'U]/mL,X
690,TPAML,Trep. pal.-FTA-Abs.-Test IgM,emptyvalue,emptyvalue,emptyvalue,emptyvalue,17729-5,Treponema pallidum IgM Ab [Presence] in Serum by Immunofluorescence,http://loinc.org,2.73,emptyvalue,emptyvalue
693,TPAM,Trep. pal.-FTA-Abs.-Test IgM,NR,Bakteriologie,emptyvalue,emptyvalue,17729-5,Treponema pallidum IgM Ab [Presence] in Serum by Immunofluorescence,http://loinc.org,2.56,emptyvalue,X
694,TPAGL,Trep. pal.-FTA-Abs.-Test IgG,emptyvalue,Sonstige Autoantikörper,emptyvalue,emptyvalue,58751-9,Treponema pallidum IgG Ab [Presence] in Cerebral spinal fluid by Immunofluorescence,http://loinc.org,2.56,emptyvalue,X
699,TPAG,Trep. pal.-FTA-Abs.-Test IgG,NR,Bakteriologie,emptyvalue,emptyvalue,17726-1	,Treponema pallidum IgG Ab [Presence] in Serum by Immunofluorescence,http://loinc.org,2.56,emptyvalue,X
700,TP,Protein,g/l,Proteindiagnostik,emptyvalue,emptyvalue,2885-2,Protein [Mass/volume] in Serum or Plasma,http://loinc.org,2.70,g/L,X
701,TOXOM,Toxoplasma gondii IgM,emptyvalue,Parasitologie,emptyvalue,emptyvalue,5390-0,Toxoplasma gondii IgM Ab [Units/volume] in Serum by Immunoassay,http://loinc.org,2.73,[IU]/mL,X
702,TOXOG,Toxoplasma gondii IgG,IU/ml,Parasitologie,emptyvalue,emptyvalue,8039-0,Toxoplasma gondii IgG Ab [Units/volume] in Serum,http://loinc.org,2.73,IU/ml,X
704,TOX,tox. Gran.,emptyvalue,Blutbild,emptyvalue,emptyvalue,803-7,Toxic granules [Presence] in Blood by Light microscopy,http://loinc.org,2.70,emptyvalue,X
705,TORA,Torasemid [Fremdlabor],mg/l,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,X
706,TOPI,Topiramat [Fremdlabor],mg/l,Antiepileptika,emptyvalue,emptyvalue,17713-9,Topiramate [Mass/volume] in Serum or Plasma,http://loinc.org,2.70,mg/L,X
707,TOLLAK,Tollwut-Antikörper [Fremdlabor],IU/ml,Virologie,emptyvalue,emptyvalue,5288-6,Rabies virus Ab [Units/volume] in Serum,http://loinc.org,2.69,[arb'U]/mL,X
708,TOL,Toluol [Fremdlabor],µg/l,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,ug/L,emptyvalue
709,TOCAWM,Toxocara canis IgM [Fremdlabor],emptyvalue,#NV,emptyvalue,emptyvalue,40675-1,Toxocara canis IgM Ab [Presence] in Serum by Immunoassay,http://loinc.org,2.56,emptyvalue,X
710,TOCAWG,Toxocara canis IgG [Fremdlabor],emptyvalue,#NV,emptyvalue,emptyvalue,40674-4,Toxocara canis IgG Ab [Presence] in Serum by Immunoassay,http://loinc.org,2.56,emptyvalue,X
711,TOCAK,Toxocara canis Ak [Fremdlabor],emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,X
712,TOBR,Tobramycin,ug/ml,Antibiotika,emptyvalue,emptyvalue,35670-9,Tobramycin [Mass/volume] in Serum or Plasma,http://loinc.org,2.42,ug/mL,X
713,TO2-POCT,Gesamt-Sauerstoff-Konz. in Blut,Vol%,BGA Sonstiges,emptyvalue,gemischtVenoes,74105-8,Oxygen saturation Calculated from oxygen partial pressure in Mixed venous blood,http://loinc.org,2.46,%&#123;Vol},X
714,TO2-POCT,Gesamt-Sauerstoff-Konz. in Blut,Vol%,Blutgasanalyse arteriell,emptyvalue,Arteriell,51733-4,Oxygen saturation Calculated from oxygen partial pressure in Arterial blood,http://loinc.org,2.40,%&#123;Vol},X
715,TO2-POCT,Gesamt-Sauerstoff-Konz. in Blut,Vol%,emptyvalue,emptyvalue,emptyvalue,2713-6,Oxygen saturation Calculated from oxygen partial pressure in Blood,http://loinc.org,2.73,emptyvalue,X
716,TO2-POCT,Gesamt-Sauerstoff-Konz. in Blut,Vol%,Blutgasanalyse kapillär,emptyvalue,Kapillare,51732-6,Oxygen saturation Calculated from oxygen partial pressure in Capillary blood,http://loinc.org,2.40,%&#123;Vol},X
717,TO2-POCT,Gesamt-Sauerstoff-Konz. in Blut,Vol%,Blutgasanalyse venös,emptyvalue,Venoes,51731-8,Oxygen saturation Calculated from oxygen partial pressure in Venous blood,http://loinc.org,2.40,%&#123;Vol},X
718,TNT,Troponin-T,emptyvalue,Klinische Chemie,emptyvalue,emptyvalue,33204-9,Troponin T.cardiac [Presence] in Serum or Plasma,http://loinc.org,2.56,emptyvalue,X
719,TNIhs,hs Troponin I,ng/l,#NV,emptyvalue,emptyvalue,89579-7 ,Troponin I.cardiac [Mass/volume] in Serum or Plasma by High sensitivity method,http://loinc.org,2.66,ng/L,X
720,TNI+E,Troponin I,pg/ml,Klinische Chemie,emptyvalue,emptyvalue,10839-9,Troponin I.cardiac [Mass/volume] in Serum or Plasma,http://loinc.org,2.70,pg/mL,X
721,TNI+,Troponin I (im Hep.-Plasma),pg/ml,Klinische Chemie,emptyvalue,emptyvalue,89579-7,Troponin I.cardiac [Mass/volume] in Serum or Plasma by High sensitivity method,http://loinc.org,2.66,pg/mL,X
722,TNI,Troponin I,µg/l,Klinische Chemie,emptyvalue,emptyvalue,10839-9,Troponin I.cardiac [Mass/volume] in Serum or Plasma,http://loinc.org,2.70,ug/L,X
723,TNFA,TNF alpha,ng/l,Klinische Chemie,emptyvalue,emptyvalue,3074-2,Tumor necrosis factor.alpha [Mass/volume] in Serum or Plasma,http://loinc.org,2.70,ng/L,X
724,TL,Thallium [Fremdlabor],µg/l,#NV,emptyvalue,emptyvalue,5744-8,Thallium [Mass/volume] in Serum or Plasma,http://loinc.org,2.42,ug/L,X
725,TK,Thymidinkinase,U/l,Tumormarker,emptyvalue, ,44934-8,Thymidine kinase [Enzymatic activity/volume] in Serum,http://loinc.org,2.70,U/L,X
726,TITB,"Titin, Ak geg.", ,Myositis-assoziierte Autoantikörper,emptyvalue, ,82449-0,Titin Ab [Presence] in Serum by Line blot,http://loinc.org,2.73, ,X
729,TIT,Titin - AK (Myoide Thymuszellen) [Fremdlabor], ,Hämatologie Sonstiges,emptyvalue, ,101237-6,Titin Ab [Presence] in Serum by Immunoblot ,http://loinc.org,2.75, ,X
730,TILI,Tilidin [Fremdlabor],µg/l,Hormone,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,ug/L,X
731,TIF1B,"TIF1g,  Ak geg. [Fremdlabor]",emptyvalue,Myositis-assoziierte Autoantikörper,emptyvalue,emptyvalue,82448-2,TIF1-gamma Ab [Presence] in Serum by Line blot,http://loinc.org,2.66,emptyvalue,X
734,THZ,Thrombinzeit,sec.,Hämostaseologie Globaltests,emptyvalue,emptyvalue,3243-3,Thrombin time,http://loinc.org,2.70,s,X
735,THSD7A,Trombospondin type-1 domain-containing protein 7A-Ak [Fremdlabor],emptyvalue,#NV,emptyvalue,emptyvalue,93339-0,THSD7A IgG Ab [Presence] in Serum or Plasma by Immunofluorescence,http://loinc.org,2.67,emptyvalue,emptyvalue
737,THROEX,Thrombozyten aus Thromboexact Monovette,G/l,Hämatologie Sonstiges,emptyvalue,emptyvalue,26515-7,Platelets [#/volume] in Blood,http://loinc.org,2.73,10*9/L,X
739,THROC,Thrombozyten aus Citrat-Blut,G/l,Blutbild,emptyvalue,emptyvalue,26515-7,Platelets [#/volume] in Blood,http://loinc.org,2.73,10*9/L,X
741,THRO,Thrombozyten,G/l,Hämostaseologie Globaltests,emptyvalue,emptyvalue,777-3,Platelets [#/volume] in Blood by Automated count,http://loinc.org,2.46,10*9/L,X
742,THRO,Thrombozyten,G/l,Hämostaseologie Globaltests,emptyvalue,emptyvalue,26515-7,Platelets [#/volume] in Blood,http://loinc.org,2.73,emptyvalue,X
744,THIOFV,Thiopental [Fremdlabor],mg/l,Psychopharmaka,emptyvalue,emptyvalue,4050-1,Thiopental [Mass/volume] in Serum or Plasma,http://loinc.org,2.40,mg/L,X
745,THEZR,Ratio CD4/CD8,emptyvalue,Sonstige Autoantikörper,emptyvalue,emptyvalue,17146-2,CD4+CD8+ cells/100 cells in Blood,http://loinc.org,2.26,%,emptyvalue
747,THEZa,T-Helfer-Zellen (abs.),G/l,Immunphänotypisierung,emptyvalue,emptyvalue,24467-3,CD3+CD4+ (T4 helper) cells [#/volume] in Blood,http://loinc.org,2.58,10*9/L,X
750,THEZ,T-Helfer-Zellen,%,Immunphänotypisierung,emptyvalue,emptyvalue,8123-2,CD3+CD4+ (T4 helper) cells/100 cells in Blood,http://loinc.org,2.70,%,X
752,THEOB,Theobromin [Fremdlabor],mg/l,#NV,emptyvalue,emptyvalue,31169-6,Theobromine [Mass/volume] in Serum or Plasma,http://loinc.org,2.70,mg/L,X
753,THEO,Theophyllin,mg/l,Medikamente Sonstiges,emptyvalue,emptyvalue,4049-3,Theophylline [Mass/volume] in Serum or Plasma,http://loinc.org,2.70,mg/L,X
754,THELA,Thrombelastogramm,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue
755,THCY,Thiocyanat [Fremdlabor],mg/l,#NV,emptyvalue,emptyvalue,3002-3,Thiocyanate [Mass/volume] in Serum or Plasma,http://loinc.org,2.40,mg/L,X
756,THB-POCT,Gesamthämoglobin-Konzentration in Blut,g/dl,emptyvalue,emptyvalue,emptyvalue,718-7,Hemoglobin [Mass/volume] in Blood,http://loinc.org,2.73,emptyvalue,X
757,THB-POCT,Gesamthämoglobin-Konzentration in Blut,g/dl,Hb-Derivate kapillär,emptyvalue,Kapillare,30352-9,Hemoglobin [Mass/volume] in Capillary blood,http://loinc.org,2.70,g/dL,X
758,THB-POCT,Gesamthämoglobin-Konzentration in Blut,g/dl,Hb-Derivate arteriell,emptyvalue,Arteriell,30313-1,Hemoglobin [Mass/volume] in Arterial blood,http://loinc.org,2.70,g/dL,X
759,THB-POCT,Gesamthämoglobin-Konzentration in Blut,g/dl,"Hb-Derivate, gemischtvenös (Rechtsherzkatheter)",emptyvalue,gemischtVenoes,30351-1	,Hemoglobin [Mass/volume] in Mixed venous blood,http://loinc.org,2.70,g/dL,X
760,THB-POCT,Gesamthämoglobin-Konzentration in Blut,g/dl,Hb-Derivate venös,emptyvalue,Venoes,30350-3,Hemoglobin [Mass/volume] in Venous blood,http://loinc.org,2.70,g/dL,X
763,TGXS,Toxoplasma gondii IgG,emptyvalue,Parasitologie,emptyvalue,emptyvalue,22580-5,Toxoplasma gondii IgG Ab [Presence] in Serum,http://loinc.org,2.56,emptyvalue,X
764,TGWF,Thyreoglobulin-Wiederfind.,%,Hormone,emptyvalue,emptyvalue,38505-4,Thyroglobulin recovery in Serum or Plasma,http://loinc.org,2.70,%,X
765,TGUAE,6-Thioguanin-Nucleotid [Fremdlabor],pmol/0.2ml,emptyvalue,emptyvalue,emptyvalue,32660-3,6-Thioguanine [Entitic substance] in Red Blood Cells,http://loinc.org,2.73,emptyvalue,emptyvalue
767,TGLEM,Toxoplasma gondii IgM,Index,Parasitologie,emptyvalue,emptyvalue,30569-8,Toxoplasma gondii IgM Ab [Units/volume] in Cerebral spinal fluid by Immunoassay,http://loinc.org,2.70,&#123;Index_val},X
769,TGLEG,Toxoplasma gondii IgG,IU/ml,Parasitologie,emptyvalue,emptyvalue,30038-4,Toxoplasma gondii IgG Ab [Units/volume] in Cerebral spinal fluid by Immunoassay,http://loinc.org,2.69,[arb'U]/mL,X
771,TGLEA,Toxoplasma gondii IgA,Units,Parasitologie,emptyvalue,emptyvalue,33265-0,Toxoplasma gondii IgA Ab [Units/volume] in Cerebral spinal fluid,http://loinc.org,2.70,[IU],X
773,TGEM,Toxoplasma gondii IgM,IU/ml,Parasitologie,emptyvalue,emptyvalue,5390-0,Toxoplasma gondii IgM Ab [Units/volume] in Serum by Immunoassay,http://loinc.org,2.56,&#123;Index_val},X
775,TGEG,Toxoplasma gondii IgG Quantifizierung,IU/ml,Parasitologie,emptyvalue,emptyvalue,5388-4,Toxoplasma gondii IgG Ab [Units/volume] in Serum or Plasma by Immunoassay,http://loinc.org,2.68,[arb'U]/mL,X
777,TGEA,Toxoplasma gondii IgA,Index,Parasitologie,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,X
778,TGAK2,Anti-TG,U/ml,Hormone,emptyvalue,emptyvalue,56536-6,Thyroglobulin Ab [Units/volume] in Serum or Plasma by Immunoassay,http://loinc.org,2.69,[arb'U]/mL,X
779,TGAK,Anti-TG,U/ml,Hormone,emptyvalue,emptyvalue,56536-6,Thyroglobulin Ab [Units/volume] in Serum or Plasma by Immunoassay,http://loinc.org,2.69,[arb'U]/mL,X
780,TG,Thyreoglobulin (Tum.Marker),ng/ml,Hormone,emptyvalue,emptyvalue,3013-0,Thyroglobulin [Mass/volume] in Serum or Plasma,http://loinc.org,2.38,ng/mL,X
781,TFZM,Zika-Virus IgM,emptyvalue,Virologie,emptyvalue,emptyvalue,80824-6,Zika virus IgM Ab [Presence] in Serum or Plasma by Immunoassay,http://loinc.org,2.73,emptyvalue,X
783,TFZG,Zika-Virus IgG,emptyvalue,Virologie,emptyvalue,emptyvalue,91080-2,Zika virus IgG Ab [Presence] in Serum or Plasma by Immunoassay,emptyvalue,2.65,emptyvalue,emptyvalue
785,TFSA,Transferrin-Sättigung,%,Klinische Chemie,emptyvalue,emptyvalue,2502-3,Iron saturation [Mass Fraction] in Serum or Plasma,http://loinc.org,2.40,%,X
786,TFDM,Dengue-Virus IgM,emptyvalue,Virologie,emptyvalue,emptyvalue,25338-5,Dengue virus IgM Ab [Presence] in Serum,http://loinc.org,2.56,emptyvalue,X
788,TFDG,Dengue-Virus IgG,emptyvalue,Virologie,emptyvalue,emptyvalue,29676-4,Dengue virus IgG Ab [Presence] in Serum,http://loinc.org,2.56,emptyvalue,X
792,TFCM,Chikungunya-Virus IgM,emptyvalue,Virologie,emptyvalue,emptyvalue,57934-2,Chikungunya virus IgM Ab [Presence] in Serum or Plasma,http://loinc.org,2.72,emptyvalue,X
793,TFCG,Chikungunya-Virus IgG,emptyvalue,Virologie,emptyvalue,emptyvalue,93979-3,Chikungunya virus IgG Ab [Presence] in Serum or Plasma,http://loinc.org,2.72,emptyvalue,X
795,TF,Tropical Fever IgG/IgM,emptyvalue,Virologie,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,X
797,TETW,Tetanus-Ak,IE/ml,emptyvalue,emptyvalue,emptyvalue,41483-9,Clostridium tetani toxoid Ab [Units/volume] in Serum by Immunoassay,http://loinc.org,2.73,[arb'U]/mL,X
798,TETRA,Tetrazepam [Fremdlabor],µg/l,Hormone,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,ug/L,X
799,TESTOFFV,Freies Testosteron [Fremdlabor],pg/ml,emptyvalue,emptyvalue,emptyvalue,2991-8,Testosterone Free [Mass/volume] in Serum or Plasma,http://loinc.org,2.73,pg/mL,X
800,TESTOF,Freies Testosteron,pg/ml,Hormone,emptyvalue,emptyvalue,2991-8,Testosterone Free [Mass/volume] in Serum or Plasma,http://loinc.org,2.70,pg/mL,X
801,TESTOd4,Testosteron 4. Tag  8 Uhr,µg/l,Hormone,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,ug/L,X
802,TESTOd3,Testosteron 3. Tag  8 Uhr,µg/l,Hormone,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,ug/L,X
803,TESTOd2,Testosteron 2. Tag  8 Uhr,ug/l,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,X
804,TESTOd1,Testosteron 1. Tag  8 Uhr,µg/l,Hormone,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,ug/L,X
805,TESTO60,Testosteron 60 min,µg/l,#NV,emptyvalue,emptyvalue,12922-1,Testosterone [Mass/volume] in Serum or Plasma --1 hour post XXX challenge,http://loinc.org,2.58,ug/L,X
806,TESTO30,Testosteron 30 min,µg/l,#NV,emptyvalue,emptyvalue,17691-7,Testosterone [Mass/volume] in Serum or Plasma --30 minutes post XXX challenge,http://loinc.org,2.34,ug/L,X
807,TESTO0,Testosteron 0 min,µg/l,Hormone,emptyvalue,emptyvalue,58835-0,Testosterone [Mass/volume] in Serum or Plasma--baseline,http://loinc.org,2.70,ug/L,X
809,TESTO,Testosteron,µg/l,Hormone,emptyvalue,emptyvalue,83116-4,Testosterone [Mass/volume] in Serum or Plasma by Immunoassay,http://loinc.org,2.58,ug/L,X
810,TESTIS,"Testis, Ak geg.",Titer,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue
812,TEMA,Temazepam [Fremdlabor],µg/l,#NV,emptyvalue,emptyvalue,10343-2,Temazepam [Mass/volume] in Serum or Plasma,http://loinc.org,2.70,ug/L,X
814,TEIC,Teicoplanin [Fremdlabor],mg/l,Antibiotika,emptyvalue,emptyvalue,4043-6,Teicoplanin [Mass/volume] in Serum or Plasma,http://loinc.org,2.42,mg/L,X
815,TEAT,Tetanus-Ak,IE/ml,#NV,emptyvalue,emptyvalue,41483-9,Clostridium tetani toxoid Ab [Units/volume] in Serum by Immunoassay,http://loinc.org,2.70,[arb'U]/mL,X
816,TCUM7,Marcumar in 6 Tagen:,3 mg Tabl,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,X
817,TCUM6,Marcumar in 5 Tagen:,3 mg Tabl,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,X
818,TCUM5,Marcumar in 4 Tagen:,3 mg Tabl,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,X
819,TCUM4,Marcumar in 3 Tagen:,3 mg Tabl,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,X
820,TCUM3,Marcumar übermorgen:,3 mg Tabl,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,X
821,TCUM2,Marcumar morgen:,3 mg Tabl,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,X
822,TCUM,Marcumar heute:,3 mg Tabl,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,X
823,TC-BF,emptyvalue,G/l,emptyvalue,emptyvalue,emptyvalue,38256-4,Cells Counted Total [#] in Body fluid,http://loinc.org,2.73,&#123;#},X
824,TC,Reptilasezeit,sec,Hämostaseologie Globaltests,emptyvalue,emptyvalue,6683-7,Reptilase time,http://loinc.org,2.54,s,X
825,TBIL-S,Bilirubin (gesamt) im Serum,mg/dl,Klinische Chemie,emptyvalue,emptyvalue,1975-2,Bilirubin.total [Mass/volume] in Serum or Plasma,http://loinc.org,2.73,mg/dL,X
826,TBIL-POCT,Gesamtbilirubin-Konzentration in Plasma,µmol/l,Klinische Chemie,emptyvalue,gemischtVenoes,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,X
